Food,Vitamin C (mg),Magnesium (mg),Iodine (Âµg),DHA (mg),EPA (mg)
Beef Muscle Meat,0,21,0,0,0
Chicken Muscle,0,26,0,0,0
Salmon,0,27,10,1500,1200
Chicken Liver,13,22,0,0,0
Chicken Heart,0,20,0,0,0
Beef Heart,4,20,0,0,0
Beef Liver,27,18,0,0,0
Beef Kidney,11,23,0,0,0
Beef Spleen,15,19,0,0,0
Beef Tongue,0,22,0,0,0
Wild Salmon (Tail),0,29,10,1400,1100
Wild Salmon (Middle),0,27,12,1500,1200
Pastured Eggs,0,12,24,120,0
Raw Milk,2,11,15,0,0
Beef Cheeks,0,25,0,0,0
Beef Tallow,0,0,0,0,0
Cashew Nuts,0.5,292,0,0,0
Brazil Nuts,0,376,0,0,0
Pistachio Nuts,5,121,0,0,0
Macadamia Nuts,0,130,0,0,0
Peanuts,0,168,0,0,0
Almonds,0,270,0,0,0
Hazelnuts,6,163,0,0,0
Himalayan Salt,0,0,0,0,0
Celtic Salt,0,0,0,0,0
Virgin Olive Oil,0,0,0,0,0
Herring,0,32,30,1300,1000
Mackerel,0,97,50,1500,1200
Seaweed (Nori),39,80,2320,0,0
Sardines (with bones),0,39,52,982,743